STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND
6,8151,1,1973,357
6,8201,1,1973,13
6,8151,1,1974,362
6,8201,1,1974,14
6,1253,1,1971,44
6,8151,1,1975,372
6,8201,1,1975,40
6,1253,1,1979,61
6,2004,1,1979,827
6,2647,1,1979,336
6,8151,1,1978,481
6,8201,1,1978,43
6,8151,1,1980,621
6,8201,1,1980,43
6,8151,1,1976,422
6,8201,1,1976,42
6,8201,1,1971,17
6,1253,1,1977,60
6,2004,1,1977,648
6,2647,1,1977,307
6,8151,1,1979,536
6,8201,1,1979,45
6,1253,1,1970,41
6,1253,1,1981,68
6,2004,1,1981,1006
6,2647,1,1981,329
6,1253,1,1982,68
6,1253,1,1994,160
6,2004,1,1994,3430
6,2647,1,1994,530
6,1253,1,1985,112
6,2004,1,1985,636
6,2647,1,1985,362
6,2004,1,1982,1095
6,2647,1,1982,329
6,8151,1,1989,2361
6,8201,1,1989,310
6,1253,1,1984,105
6,8151,1,1986,1687
6,8201,1,1986,126
6,8151,1,1988,2530
6,8201,1,1988,307
6,8151,1,1987,1783
6,8201,1,1987,166
6,2004,1,1984,541
6,2647,1,1984,362
6,1253,1,1989,210
6,2004,1,1989,1640
6,8151,1,1982,595
6,8201,1,1982,57
6,8151,1,1985,1759
6,8201,1,1985,122
6,8151,1,1990,2237
6,1253,1,1983,72
6,2004,1,1983,464
6,2647,1,1983,325
6,8151,1,1984,1641
6,8201,1,1984,71
6,1253,1,1986,112
6,2004,1,1986,686
6,1253,1,1988,179
6,2004,1,1988,1023
6,2647,1,1988,506
6,1253,1,1987,179
6,2004,1,1987,924
6,2647,1,1987,422
6,2647,1,1989,520
6,1253,1,1990,210
6,2004,1,1990,1962
6,2647,1,1990,293
6,8151,1,1983,740
6,8201,1,1983,64
6,2647,1,1986,401
6,8151,1,1991,2237
6,8201,1,1991,125
6,8201,1,1993,173
6,8151,1,1992,1938
6,8201,1,1992,142
6,8201,1,1990,133
6,1253,1,1991,104
6,1253,1,1993,151
6,2004,1,1993,3000
6,2647,1,1993,430
6,2004,1,1991,1752
6,2647,1,1991,327
6,8201,1,1994,163
6,1253,1,1992,51
6,2004,1,1992,3000
6,2647,1,1992,269
6,1253,1,1995,169
6,2004,1,1995,3216
6,2647,1,1995,544
6,1253,1,1996,179
6,2004,1,1996,3538
6,2647,1,1996,548
6,1253,1,1997,190
6,2004,1,1997,2278
6,8201,1,1998,488
6,8201,1,1995,163
6,2647,1,1997,416
6,8201,1,1996,165
6,1253,1,1998,201
6,2004,1,1998,2106
6,2647,1,1998,402
6,8201,1,1997,478
6,8201,1,2000,616
6,8201,1,2002,714
6,2647,1,1999,474
6,1253,1,2001,238
6,2647,1,2001,557
6,1253,1,2000,225
6,2004,1,2000,2865
6,1253,1,2002,251
6,2647,1,2002,598
6,2647,1,2000,474
6,8201,1,2001,655
6,8201,1,1999,616
6,1253,1,1999,212
6,2004,1,1999,2865
6,1253,1,2010,395
6,8201,1,2005,728
6,1253,1,2006,315
6,2647,1,2006,754
6,1253,1,2003,266
6,2647,1,2003,621
6,1253,1,2004,281
6,2647,1,2004,660
6,1253,1,2005,298
6,2647,1,2005,690
6,8201,1,2006,560
6,8201,1,2003,675
6,8201,1,2004,690
6,1253,1,2009,373
6,2647,1,2009,633
6,1253,3,2012,442
6,1253,2,2012,442
6,1253,1,2007,333
6,2647,1,2007,766
6,1253,3,2014,495
6,1253,2,2014,495
6,1253,2,2011,418
6,1253,1,2011,418
6,8201,1,2007,579
6,1253,1,2008,353
6,2647,1,2008,775
6,1253,2,2013,468
6,1253,3,2013,468
6,1253,3,2017,586
6,1253,2,2017,586
6,1253,2,2015,524
6,1253,3,2015,524
6,1253,3,2016,554
6,1253,2,2016,554
12,3996,1,1977,345
12,4099,1,1977,252
12,3995,1,1981,390
12,3996,1,1981,297
12,4099,1,1981,228
12,9054,1,1977,104
12,3996,1,1974,386
12,3995,1,1975,267
12,3996,1,1975,372
12,9054,1,1981,144
12,1060,1,1980,386
12,3995,1,1978,322
12,3996,1,1978,332
12,4099,1,1978,246
12,3995,1,1980,366
12,3996,1,1980,308
12,3995,1,1976,284
12,3996,1,1976,358
12,9054,1,1974,82
12,4099,1,1976,259
12,1060,1,1979,403
12,9054,1,1975,89
12,3995,1,1979,343
12,3996,1,1979,320
12,4099,1,1979,240
12,4099,1,1980,207
12,9054,1,1978,113
12,9054,1,1980,133
12,9054,1,1976,96
12,3995,1,1977,303
12,9054,1,1979,123
12,1060,1,1981,370
12,1060,1,1982,355
12,1060,1,1994,126
12,1060,1,1985,375
12,3995,1,1987,570
